0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;;;;Text type;;;;Language(s) and script(s);;;;;;;;;;;;Physical form;;;;;;;;;;;Filiation;;;;;;;Rights;;;;;;;;;;;;;;;
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Lines (observed);Lines (estimated);Lines per zone(s);Dimensions of text zone(s);Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references (primary);Bibliographical references (secondary);Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;;;;;;;;;;;;
;;INSCIC00167_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00167_3;;C. 167;;;C;ARTCIC000167;;;;;Sanskrit;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;"BEFEO XIX (5), 103; XXVII, 460.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00167_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00167_4;;C. 167;;;D;ARTCIC000167;;;;;Old Cham;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;;"BEFEO XIX (5), 103; XXVII, 460.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00167_5;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00167_5;;C. 167;;;E;ARTCIC000167;;;;;Old Cham;;;;;;;;;;;;engraved;;6;;;;;;;;;;;;;"BEFEO XIX (5), 103; XXVII, 460.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00168;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00168;;C. 168;;;;ARTCIC000168;Inscription rupestre;;;;Old Cham;;;;;;;;;;;;engraved;;quelques lettres;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00169;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00169;;C. 169;;;;ARTCIC000169;Inscription rupestre;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;Madrolle, Indochine du Sud, p. 215;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00170;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00170;;C. 170;;;;ARTCIC000170;Inscription rupestre;;;;;;;;;;;;;;;;engraved;;6;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00171;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00171;;C. 171;;;;ARTCIC000171;;;;;Sanskrit;;;;;;;;;;;;engraved;;3+3;;;;;;;;;;;;;BEFEO XXV, 472. — BCAI 1917-30, 59.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00172;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00172;;C. 172;;;;ARTCIC000172;;;;;Sanskrit;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;BEFEO XXV, 474.;BEFEO XXII, 373.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00173;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00173;;C. 173;;;;ARTCIC000173;;;;;Sanskrit;;;;;;;;;;;;engraved;;2 sur deux faces;;;;;;;;;;;;BEFEO XXVIII, 147.;BEFEO XXVII, 478. — BCAI 1917-30, 56.;;Une photo de l'estampage n. 508 se trouve avec l'estampage: EFEO-n508lég.jpg. Diviser en C. 173 A et B?;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00174;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00174;;C. 174;;;;ARTCIC000174;Inscription rupestre;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;BEFEO XXXV, 471.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00175;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00175;;C. 175;;;;ARTCIC000175;;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;ICDN, 245.;BEFEO XXVIII, 601.;;Base pour sommet de tour : 8 antéfixes inscrits;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00176;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00176;;C. 176;;;;ARTCIC000176;;;;;;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;;;;Fragment de Nandin (?) en terre cuite;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00177;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00177;;C. 177;;;;ARTCIC000177;;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;BEFEO XXVIII, 602.;;même texte d'une des 6 inscriptions se trouve sur le makara en terre cuite du Musée de Da Nang (BTC 28 = Tourane 31, 5);DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00178;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00178;;C. 178;;;;ARTCIC000178;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00179;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00179;;C. 179;;;;ARTCIC000179;;;;;Old Cham;;;;;;;;;;;;engraved;;6;;;;;;;;;;;;;BEFEO XXX, 214.;;"Datée ""XIe"" par Cœdès. Mais probablement plus tardive. Époque de Vīrabhadravarmadeva? Noter aussi la remarque dans BEFEO 30: ""L'écriture est celle de l'inscription de la porte royale de Bình Định (1323 çaka).""";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00180;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00180;;C. 180;;;;ARTCIC000180;;;;;Old Cham;;;;;;;;;;;;engraved;;2 sur deux faces;;;;;;;;;;;;;BEFEO XXXI, 324.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00181;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00181;;C. 181;;;;ARTCIC000181;;;;;Unknown;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;ICDN, 251.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00182;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00182;;C. 182;;;;ARTCIC000182;;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;;;"datation XIe de Cœdès nous paraît trop haute; plutôt XIIe śaka (synchronie avec C. 123). La langue est évidemment du cam et pas du skt. Noter incohérence entre no. Tourane Cœdès et indication que porte la pierre même.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00183_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00183_1;;C. 183;;;A;ARTCIC000183;;;;;;;;;;;;;;;;;engraved;;12 environ;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00183_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00183_2;;C. 183;;;B;ARTCIC000183;;;;;;;;;;;;;;;;;engraved;;5 fragments de ligne;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00184;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00184;;C. 184;;;;ARTCIC000184;;;;;;;;;;;;;;;;;engraved;;1;;156;;;;;;;;;;;;;une avec C. 185?;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00185;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00185;;C. 185;;;;ARTCIC000185;;;;;;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00186;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00186;;C. 186;;;;ARTCIC000186;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;1881;;;;;;;Weber 2014: 256-257;IC IV, 207-208.;;Inscrit au dessus de K. 287. Le lot EFEO n. 486 comporte à part quatre estampages de l'inscription en cham mod. inventoriée comme C. 186 nombre d'autres petits estampages dont l'appartenance à ladite inscription paraît incertaine. Ces estampages portent des extensions a-i. Les petites inscriptions ou éléments d'inscriptions en question sembleraient a priori appartenir au corpus khmer, en n'ont peut-être pas encore inventoriés.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00187;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00187;;C. 187;;;;ARTCIC000187;;;;;Old Cham;;;;;;;;;;;;engraved;;2+3;;;;;;;;;;;;;;;2 fragments d'inscription;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00188;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00188;;C. 188;;;;ARTCIC000188;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00189;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00189;;C. 189;;;;ARTCIC000189;;;;;;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00190;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00190;;C. 190;;;;ARTCIC000190;Graffiti;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00191;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00191;;C. 191;;;;ARTCIC000191;;;;;Old Cham;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00192;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00192;;C. 192;;;;ARTCIC000192;;;;;Old Cham;;;;;;;;;;;;engraved;;5 et 6;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00193;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00193;;C. 193;;;;ARTCIC000193;;;;;Sanskrit;;;;;;;;;;;;engraved;;5;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00194;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00194;;C. 194;;;;ARTCIC000194;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00195;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00195;;C. 195;;;;ARTCIC000195;;;;;;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00196_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00196_1;;C. 196;;;A;ARTCIC000196;;;;;;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00196_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00196_2;;C. 196;;;B;ARTCIC000196;;;;;;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00197;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00197;;C. 197;;;;ARTCIC000197;Inscription rupestre;;;;Sanskrit;;;Old Cham;;;;;;;;;engraved;;1;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00198_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00198_1;;C. 198;;;ant.;ARTCIC000198;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;;IXe-Xe;;;;;;;"P. 285; P. 1918, 243.";;"Il ne s'agit pas d'un ""socle"" et la langue n'est pas sk. (Cœdès). C. a ignoré les mentions chez P. qui, effectivement, ne mentionne pas l'inscription.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00198_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00198_2;;C. 198;;;lat.;ARTCIC000198;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;;"P. 285; P. 1918, 243.";;"Il ne s'agit pas d'un ""socle"" et la langue n'est pas sk. (Cœdès). C. a ignoré les mentions chez P. qui, effectivement, ne mentionne pas l'inscription.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00199;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00199;;C. 199;;;;ARTCIC000199;Inscription rupestre;;;;;;;;;;;;;;;;engraved;;2, 3, 7, 5;;;;;VIIe;;;;;;;Wittayarat 2004-05.;;;4 inscriptions rupestres;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00200;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00200;;C. 200;;;;ARTCIC000200;;;;;Sanskrit, Old Cham;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;;;23 fragments d'inscription;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00201_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00201_1;;C. 201;;;A;ARTCIC000201;;;;;Unknown;;;;;;;;;;;;engraved;;invoc.;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00201_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00201_2;;C. 201;;;B;ARTCIC000201;;;;;Old Cham;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00202_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00202_1;;C. 202;;;(A);ARTCIC000202;;;;;;;;;;;;;;;;;engraved;;14 illisibles;;;;;;;;;;;;;BEFEO 15 (2), p. 18.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00202_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00202_2;;C. 202;;;(B);ARTCIC000202;;;;;;;;;;;;;;;;;engraved;;8 presqu'entièrement illisibles;;;;;;;;;;;;;BEFEO 15 (2), p. 18.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00202_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00202_3;;C. 202;;;(C);ARTCIC000202;;;;;;;;;;;;;;;;;engraved;;ca. 12 illisibles;;;;;;;;;;;;;BEFEO 15 (2), p. 18.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00202_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00202_4;;C. 202;;;(D);ARTCIC000202;;;;;;;;;;;;;;;;;engraved;;entièrement effacée ou jamais gravée;;;;;;;;;;;;;BEFEO 15 (2), p. 18.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00203;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00203;;C. 203;;;;ARTCIC000203;;;;;Old Cham;;;;;;;;;;;;engraved;;8;;;;;;;;;;;;;BEFEO 15 (2), 18.;;informations prises du tableau Estampages EFEO encrés;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00204;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00204;;C. 204;;;;ARTCIC000204;Graffiti;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;;;11 graffiti;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00205;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00205;;C. 205;;;;ARTCIC000205;;;;;Sanskrit;;;;;;;;;;;;incised;;1;;;;;;;;;;;;BEFEO 86, 348;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00206;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00206;;C. 206;;;;ARTCIC000206;;;;;Sanskrit;;;;;;;;;;;;incised;;1;;;;;;;;;;;;BEFEO 86, 349;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00207;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00207;;C. 207;;;;ARTCIC000207;;;;;Sanskrit;;;;;;;;;;;;incised;;1;;;;;;;;;;;;BEFEO 86, 349;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00208;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00208;;C. 208;;;;ARTCIC000208;;;;;Old Cham;;;;;;;;;;;;incised;;1;;;;;;;;;;;;;;;a paraitre dans la premiere chronique CIC;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00209;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00209;;C. 209;;;;ARTCIC000209;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;;;photo/powerpoint fournis par AVS;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00210_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00210_1;;C. 210;;;A;ARTCIC000210;;;;;Sanskrit;;;;;;;;;;;;engraved;;8;;;;;;;;;;;;;BEFEO 50 (1962), p. 559 —Trésors d'art du Vietnam / la Sculpture du Champa Ve-Xve siècle, p. 42 fig. 6;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00210_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00210_2;;C. 210;;;B;ARTCIC000210;;;;;Old Cham;;;;;;;;;;;;engraved;;9;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00210_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00210_3;;C. 210;;;C;ARTCIC000210;;;;;Old Cham;;;;;;;;;;;;engraved;;10;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00210_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00210_4;;C. 210;;;D;ARTCIC000210;;;;;Old Cham;;;;;;;;;;;;engraved;;10;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00211_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00211_1;;C. 211;;;A;ARTCIC000211;;;;;Sanskrit;;;;;;;;;;;;engraved;;13;;;;;;;;;;;;Griffiths et al. 2012: 263-270;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00211_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00211_2;;C. 211;;;B;ARTCIC000211;;;;;Sanskrit;;;;;;;;;;;;engraved;;16;;;;;;;;;;;;Griffiths et al. 2012: 263-270;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00211_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00211_3;;C. 211;;;c;ARTCIC000211;;;;;Sanskrit;;;Old Cham;;;;;;;;;engraved;;12;;;;;;;;;;;;Griffiths et al. 2012: 263-270;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00211_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00211_4;;C. 211;;;d;ARTCIC000211;;;;;Old Cham;;;;;;;;;;;;engraved;;16;;;;;;;;;;;;Griffiths et al. 2012: 263-270;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00212;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00212;;C. 212;;;;ARTCIC000212;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;BEFEO 95-96, 445 n. 22.;Gốm cổ Champa Bình Định (2008), p. 48/54 des illustrations (pages non-numérotées).;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00213_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00213_1;;C. 213;;;A;ARTCIC000213;;;;;Old Cham;;;;;;;;;;;;engraved;;22;;;;;;;;;;;;;Tập ảnh sưu hiện vật lịch sử văn hóa Bình Định (2004), 56 (n° 104);;Estampage offert par le musée de Binh Dinh.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00213_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00213_2;;C. 213;;;B;ARTCIC000213;;;;;Old Cham;;;;;;;;;;;;engraved;;23;;;;;;;;;;;;;Tập ảnh sưu hiện vật lịch sử văn hóa Bình Định (2004), 56 (n° 104);;Estampage offert par le musée de Binh Dinh.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00213_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00213_3;;C. 213;;;C;ARTCIC000213;;;;;Old Cham;;;;;;;;;;;;engraved;;24;;;;;;;;;;;;;Tập ảnh sưu hiện vật lịch sử văn hóa Bình Định (2004), 56 (n° 104);;Estampage offert par le musée de Binh Dinh.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00214;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00214;;C. 214;;;dos d'une statue;ARTCIC000214;;;;;Old Cham;;;;;;;;;;;;engraved;;12;;;;;;;;;;;;;Griffiths, Campa Volume;;Selon AVS, un est. de cette inscription se trouve dans le Musée Guimet. A confirmer.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00215;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00215;Stèle de l'église à Trà Kiệu;C. 215;;;dos d'une statue;ARTCIC000215;;;;;Old Cham;;;;;;;;;;;;engraved;;invoc. + 7;;;;;;;;;;;;;"Trần Kỳ Phương & Nguyễn Văn Phúc 1991: 220. — Schweyer 2003: 18; Schweyer 2008: 228, figures 8 & 9. — Griffiths, Campa Volume.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00216_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00216_2;Inscription de Hoà Lai;C. 216;;;A2;ARTCIC000216_1;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;JA;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00216_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00216_3;Inscription de Hoà Lai;C. 216;;;b;ARTCIC000216_1;;;;;Sanskrit;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;JA;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00216_5;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00216_5;Inscription de Hoà Lai;C. 216;;;d;ARTCIC000216_2;;;;;Sanskrit;;;;;;;;;;;;engraved;;2 sur deux faces;;;;;;;;;;;;JA;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00216_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00216_1;Inscription de Hoà Lai;C. 216;;;A1;ARTCIC000216_1;;;;;Sanskrit;;;;;;;;;;;;engraved;;invoc. + 19;;;;;;;;;;;;JA;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00216_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00216_4;Inscription de Hoà Lai;C. 216;;;C;ARTCIC000216_1;;;;;Sanskrit;;;;;;;;;;;;engraved;;15;;;;;;;;;;;;JA;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
